[2026-02-20 01:29:13.076030800 -05:00] Public subs not fully confirmed after 5 polls (ohlc: true, ticker: false)
[2026-02-20 01:36:58.284452900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=7673861
[2026-02-20 01:39:22.109247900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=339398.33475
[2026-02-20 01:40:37.679770300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=168980.60551
[2026-02-20 01:42:34.560453400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=17500000
[2026-02-20 01:43:18.514524800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=2193875
[2026-02-20 01:46:42.980637 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=11063897.76358
[2026-02-20 01:51:49.389757700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=765461.78343
[2026-02-20 01:55:53.693055 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=582101.91082
[2026-02-20 02:04:30.887584100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=898083
[2026-02-20 02:05:56.075339400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=10329945
[2m2026-02-20 02:08:38 -05:00[0m [31mERROR[0m [2mtrading_bot_rs::websocket[0m[2m:[0m [2msrc\websocket.rs[0m[2m:[0m Private WS error: IO error: An existing connection was forcibly closed by the remote host. (os error 10054)
[2026-02-20 02:09:44.657926900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=6493506.4935
[2026-02-20 02:14:12.665891900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=818188.30065
[2026-02-20 02:20:48.013442500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=342484.07643
[2026-02-20 02:21:57.663989300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=239037.89338
[2026-02-20 02:22:18.846412400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=164673
[2026-02-20 02:24:25.308177300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=10648173
[2026-02-20 02:29:28.624085600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=14776874.00318
[2026-02-20 02:32:08.475368900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=333235.16989
[2026-02-20 02:39:18.864574200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=50000000
[2026-02-20 02:40:10.429813200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=3913814
[2026-02-20 02:41:01.907456 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=4426517.57188
[2026-02-20 02:44:03.579546400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=19958581
[2026-02-20 02:47:15.304949300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=8000000
[2026-02-20 02:47:57.664830100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=16000000
[2026-02-20 02:50:39.670836600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=2046178.34395
[2026-02-20 02:54:46.695945300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=406678
